Country Name,NO2 temporal coverage (%) 2020,NO2 temporal coverage (%) 2021,NO2 temporal coverage (%) 2022
Albania,93.70,91.4,89.7
Andorra,95.74,92.3,91.0
Argentina,91.67,89.4,88.3
Australia,65.48,65.7,66.1
Austria,94.47,92.1,90.5
Bahrein,80.82,78.6,79.2
Bangladesh,68.4,67.2,64.2
Belgium,95.1,94.3,93.9
Bosnia and Herzegovina,93.88,91.8,92.0
Brazil,91.08,89.5,88.9
Bulgaria,94.44,83.2,81.6
Canada,96.95,95.4,95.2
Chile,92.85,90.54,90.6
Colombia,72.29,73.4,71.1
Costa Rica,100,98.39,95.2
Croatia,91.75,91.75,88.2
Cyprus,97.53,96.5,95.6
Czechia,95.26,94.6,93.5
Denmark,92.5,89.35,88.7
Estonia,98.77,97.4,97.1
Finland,97.4,95.3,96.1
France,97.36,96.2,94.3
Germany,97.45,97.45,97.22
Greece,93.29,92.6,91.11
Hungary,95.49,95.30,95.1
Iceland,95.63,91.2,88.6
India,83.69,84.1,82.4
Ireland,93.83,93.5,92.8
Italy,93.52,91.1,90.8
Japan,98.14,97.2,95.8
Jordan,95.39,92.3,94.5
Kuwait,92.63,92.6,93.1
Latvia,93.32,92.9,89.2
Lebanon,66,65.1,63.4
Liechtenstein,98.27,98.1,97.8
Lithuania,95.23,95.30,94.7
Luxembourg,95.64,93.4,94.2
Malta,92.22,90.2,87.2
Mauritius,75,74.2,74.1
Mexico,86.83,86.30,85.9
Monaco,92.65,91.2,90.3
Montenegro,91.65,90.3,89.6
Myanmar,94.71,93.4,91.5
Netherlands,97.75,97.7,96.6
North Macedonia,90.32,90.35,89.6
Norway,93.64,93.4,92.8
Peru,24.44,24.30,24.21
Poland,96.01,94.2,95.6
Portugal,94.44,93.4,91.5
Qatar,99,97.3,97.1
Republic of Korea,94.01,92.4,91.0
Romania,89.34,87.3,86.9
Senegal,75,75.2,75.3
Serbia,94.36,93.6,92.8
Singapore,100,99.8,98.5
Slovakia,94.91,94.25,93.9
Slovenia,93.47,91.5,90.7
South Africa,75,74.6,73.0
Spain,95.88,95.23,94.6
Sweden,95.33,95.36,96.5
Switzerland,99.27,99.09,98.41
Thailand,79.56,77.99,76.99
Trinidad and Tobago,51.45,51.55,52.1
Turkey,94.97,94.20,93.65
United Kingdom,96.5,94.6,94.2
